title,year,venue,type,cited_by_count,authors
Proofreading and single-molecule sensitivity in T cell receptor signaling by condensate nucleation,2025,Proceedings of the National Academy of Sciences,article,7,William L. White; Hailemikael K. Yirdaw; Ariel J. Ben‐Sasson; Jay T. Groves; David Baker; Hao Yuan Kueh
Synthetic Par polarity induces cytoskeleton asymmetry in unpolarized mammalian cells,2023,Cell,article,36,Joseph L. Watson; Lara K. Krüger; Ariel J. Ben‐Sasson; Alice Bittleston; Marta N. Shahbazi; Vicente J. Planelles-Herrero; Joseph E. Chambers; James D. Manton; David Baker; Emmanuel Derivery
Protein Design Using Physics Informed Neural Networks,2023,Biomolecules,article,15,Sara Ibrahim Omar; Chen Keasar; Ariel J. Ben‐Sasson; Eldad Haber
Precision materials: Computational design methods of accurate protein materials,2022,Current Opinion in Structural Biology,article,6,Shunzhi Wang; Ariel J. Ben‐Sasson
Design of biologically active binary protein 2D materials,2021,Nature,article,146,Ariel J. Ben‐Sasson; Joseph L. Watson; William Sheffler; Matthew C. Johnson; Alice Bittleston; Logeshwaran Somasundaram; Justin Decarreau; Fang Jiao; Jiajun Chen; Ioanna Mela; Andrew A. Drabek; Sanchez M. Jarrett; Stephen C. Blacklow; Clemens F. Kaminski; Greg L. Hura; James J. De Yoreo; Justin M. Kollman; Hannele Ruohola‐Baker; Emmanuel Derivery; David Baker
Self-Assembled Metallic Nanowire-Based Vertical Organic Field-Effect Transistor,2015,ACS Applied Materials & Interfaces,article,68,Ariel J. Ben‐Sasson; Daniel Azulai; Hagit Gilon; Antonio Facchetti; Gil Markovich; Nir Tessler
The Mechanism of Operation of Lateral and Vertical Organic Field Effect Transistors,2014,Israel Journal of Chemistry,article,42,Ariel J. Ben‐Sasson; Michael Greenman; Yohai Roichman; Nir Tessler
Low-Temperature Molecular Vapor Deposition of Ultrathin Metal Oxide Dielectric for Low-Voltage Vertical Organic Field Effect Transistors,2013,ACS Applied Materials & Interfaces,article,31,Ariel J. Ben‐Sasson; Guy Ankonina; Michael Greenman; Michael T. Grimes; Nir Tessler
Fast switching characteristics in vertical organic field effect transistors,2013,Applied Physics Letters,article,30,Michael Greenman; Ariel J. Ben‐Sasson; Zhihua Chen; Antonio Facchetti; Nir Tessler
Unraveling the Physics of Vertical Organic Field Effect Transistors through Nanoscale Engineering of a Self-Assembled Transparent Electrode,2012,Nano Letters,article,93,Ariel J. Ben‐Sasson; Nir Tessler
Solution-processed ambipolar vertical organic field effect transistor,2012,Applied Physics Letters,article,50,Ariel J. Ben‐Sasson; Zhihua Chen; Antonio Facchetti; Nir Tessler
Patterned electrode vertical field effect transistor: Theory and experiment,2011,Journal of Applied Physics,article,78,Ariel J. Ben‐Sasson; Nir Tessler
"Patterned electrode vertical OFET: analytical description, switching mechanisms, and optimization rules",2011,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",conference-paper,19,Ariel J. Ben‐Sasson; Nir Tessler
Patterned electrode vertical field effect transistor fabricated using block copolymer nanotemplates,2009,Applied Physics Letters,article,95,Ariel J. Ben‐Sasson; Eran Avnon; Elina Ploshnik; Oded Globerman; Roy Shenhar; Gitti L. Frey; Nir Tessler
Engineering Approach to Materials and Devices Development,2009,ECS Meeting Abstracts,conference-abstract,0,Nir Tessler; Ariel J. Ben‐Sasson; Nir Yaacobi; Eran Avnon; Michal Soreni; Yoav Eichen
